machine_id,time,status,brand,usage_rate,temp_avg,age_machine,env_humidity,maintenance_freq,operator_experience,shock_events
1947,250.8,1,Alpha,0.58,69.0,1,89.7,1.56,2,1
1948,263.6,1,Beta,0.47,62.9,7,68.6,1.7,3,1
1949,69.6,1,Beta,0.61,65.6,2,55.4,0.54,3,0
1950,199.3,1,Beta,0.74,62.6,3,34.4,1.05,2,0
1951,684.6,1,Beta,0.49,58.1,3,36.0,1.11,3,0
1952,372.3,1,Alpha,0.58,67.9,3,83.4,0.87,2,1
1953,236.8,1,Beta,0.7,62.1,3,56.1,0.56,2,0
1954,261.5,1,Alpha,0.81,60.9,2,85.4,1.89,2,0
1955,521.4,1,Gamma,0.62,68.7,2,79.7,1.23,4,0
1956,27.0,1,Beta,0.53,65.1,3,36.6,0.71,1,0
1957,639.7,0,Beta,0.42,70.1,2,66.8,0.9,2,0
1958,398.3,1,Beta,0.67,61.4,10,64.4,0.48,2,0
1959,406.8,1,Beta,0.5,68.8,6,35.4,0.48,3,0
1960,427.0,0,Alpha,0.54,62.0,4,75.3,1.2,3,2
1961,145.2,1,Beta,0.59,75.8,9,52.0,1.07,2,1
1962,961.4,0,Alpha,0.35,59.2,9,44.7,1.41,4,0
1963,489.5,1,Beta,0.49,64.1,5,75.2,0.53,3,2
1964,383.1,1,Alpha,0.8,62.3,9,72.7,1.74,4,1
1965,435.0,1,Alpha,0.74,61.2,7,43.7,1.3,3,0
1966,171.1,1,Beta,0.5,65.3,1,63.8,0.56,2,0
1967,348.6,0,Alpha,0.46,69.6,4,33.5,0.78,2,1
1968,135.9,1,Beta,0.88,64.4,6,38.1,0.95,3,2
1969,422.9,1,Gamma,0.42,60.4,8,87.6,0.55,3,0
1970,726.1,1,Gamma,0.53,66.0,7,88.8,1.34,3,1
1971,8.7,1,Alpha,0.77,76.2,10,60.8,0.78,3,0
1972,364.5,1,Beta,0.7,66.8,5,31.2,1.73,4,0
1973,9.4,1,Beta,0.89,68.6,7,41.3,1.24,3,2
1974,591.4,0,Alpha,0.75,66.7,6,76.5,1.11,4,0
1975,198.1,1,Gamma,0.75,61.7,3,49.1,1.57,5,0
1976,294.8,1,Gamma,0.73,61.8,7,64.8,1.7,5,0
1977,13.8,1,Alpha,0.55,68.8,8,46.1,0.59,4,0
1978,785.0,0,Alpha,0.75,66.6,7,31.7,1.66,3,1
1979,19.0,1,Alpha,0.51,65.7,2,89.0,1.49,3,1
1980,74.1,1,Alpha,0.87,66.7,6,90.0,0.69,2,0
1981,72.4,1,Beta,0.81,66.2,9,39.8,0.55,3,1
1982,49.4,1,Gamma,0.64,71.4,3,89.8,0.74,3,1
1983,150.9,1,Alpha,0.85,67.4,4,57.4,1.05,4,2
1984,318.2,1,Alpha,0.55,63.6,5,82.9,1.74,4,1
1985,598.5,1,Gamma,0.85,58.9,1,41.8,0.72,3,1
1986,201.7,1,Beta,0.37,67.8,9,31.4,0.67,3,0
1987,207.8,1,Beta,0.73,55.7,3,35.0,0.93,3,0
1988,70.7,1,Beta,0.78,64.6,10,47.8,1.3,3,1
1989,227.4,1,Beta,0.83,67.3,9,56.5,1.55,4,0
1990,123.3,1,Alpha,0.88,66.6,8,57.5,0.68,4,0
1991,74.6,1,Gamma,0.71,55.9,2,46.3,1.46,3,0
1992,8.4,1,Gamma,0.79,71.8,9,57.9,1.42,3,1
1993,256.6,1,Gamma,0.43,63.6,9,79.6,0.91,2,2
1994,515.1,0,Gamma,0.41,62.3,4,34.4,1.57,3,0
1995,38.0,1,Beta,0.86,64.5,4,31.1,0.47,3,0
1996,761.9,0,Alpha,0.39,63.3,6,52.9,0.52,4,1
1997,106.0,1,Gamma,0.89,70.5,10,81.6,1.99,4,3
1998,630.3,1,Alpha,0.6,62.9,3,45.4,1.53,4,0
1999,509.5,0,Gamma,0.57,62.4,5,58.2,2.02,3,0
2000,191.0,1,Alpha,0.74,67.4,8,81.8,1.48,2,0
2001,257.3,1,Beta,0.33,59.4,10,62.0,1.08,4,0
2002,18.9,1,Beta,0.61,64.7,10,77.7,1.11,3,1
2003,526.1,1,Alpha,0.81,74.2,9,59.9,1.89,2,2
2004,674.3,1,Gamma,0.54,56.8,1,75.8,0.91,1,1
2005,11.4,1,Beta,0.61,53.3,8,60.1,0.86,3,0
2006,229.0,1,Gamma,0.3,59.2,4,43.5,1.57,2,0
2007,383.7,1,Beta,0.55,66.1,5,67.0,1.25,4,1
2008,64.9,1,Beta,0.68,52.7,2,35.7,1.27,2,0
2009,128.2,1,Beta,0.73,68.9,10,58.8,0.53,2,0
2010,208.8,1,Alpha,0.79,65.4,3,53.8,1.82,3,0
2011,80.5,1,Alpha,0.51,72.8,1,71.2,1.82,3,0
2012,71.4,1,Beta,0.8,62.3,8,50.8,0.9,2,1
2013,61.7,1,Beta,0.68,63.1,3,87.9,1.43,2,1
2014,76.1,1,Beta,0.54,71.2,8,34.5,1.39,3,0
2015,557.4,1,Gamma,0.59,56.3,6,45.8,1.9,3,0
2016,474.1,0,Beta,0.49,64.2,7,73.1,1.15,2,0
2017,71.3,1,Beta,0.8,50.4,8,62.2,1.31,3,0
2018,409.9,0,Alpha,0.42,66.1,2,54.2,1.36,3,0
2019,535.9,1,Gamma,0.54,60.3,2,52.3,1.01,3,0
2020,107.2,1,Gamma,0.52,68.4,8,51.5,1.37,2,1
2021,390.4,0,Gamma,0.66,65.2,4,37.2,1.49,3,1
2022,196.7,1,Alpha,0.41,67.5,10,78.0,0.67,4,1
2023,90.6,1,Alpha,0.54,69.4,5,53.7,0.85,3,1
2024,346.8,0,Beta,0.55,69.2,6,58.5,1.55,3,0
2025,173.9,1,Gamma,0.39,67.9,8,66.5,1.06,3,1
2026,890.8,1,Gamma,0.31,66.8,10,40.9,1.16,3,0
2027,621.7,0,Alpha,0.7,65.5,9,75.9,1.3,4,0
2028,503.8,1,Beta,0.74,71.5,1,86.1,1.43,3,1
2029,718.3,1,Alpha,0.53,68.7,7,61.5,1.54,4,0
2030,1161.0,0,Beta,0.61,61.3,2,63.1,1.24,4,0
2031,16.3,1,Beta,0.33,64.2,7,30.9,1.38,3,1
2032,185.3,1,Alpha,0.82,60.5,1,56.0,1.52,4,1
2033,400.0,0,Beta,0.38,65.2,9,74.4,1.03,3,0
2034,328.3,1,Alpha,0.85,57.8,10,34.5,0.71,2,1
2035,204.5,1,Alpha,0.55,65.0,6,86.2,1.2,4,1
2036,103.5,1,Gamma,0.52,73.0,9,77.8,1.13,3,1
2037,587.9,1,Alpha,0.65,71.1,5,33.2,1.79,3,1
2038,54.7,1,Beta,0.43,64.2,7,43.3,1.5,3,0
2039,332.4,1,Gamma,0.78,64.0,10,56.9,1.84,4,0
2040,73.6,1,Beta,0.39,64.3,5,41.2,0.61,3,1
2041,42.0,1,Beta,0.87,62.7,7,87.7,1.02,2,2
2042,501.9,1,Gamma,0.78,68.8,6,84.1,2.03,3,1
2043,31.8,1,Alpha,0.82,61.7,5,63.3,1.14,4,0
2044,137.5,1,Beta,0.86,67.0,7,69.7,1.44,4,0
2045,466.4,1,Beta,0.53,63.6,6,46.6,1.17,4,1
2046,336.1,1,Beta,0.58,70.8,7,42.1,1.56,2,0
2047,28.1,1,Alpha,0.63,64.9,1,68.2,1.89,3,1
2048,296.9,1,Beta,0.42,54.5,5,63.5,0.49,3,0
2049,418.8,1,Beta,0.35,59.6,6,75.0,1.72,4,0
2050,345.9,1,Beta,0.35,65.6,10,82.1,1.04,3,1
2051,305.4,1,Gamma,0.67,71.2,3,75.7,2.16,4,0
2052,7.1,1,Gamma,0.75,70.0,6,72.0,1.07,2,1
2053,17.4,1,Gamma,0.81,68.2,5,47.9,1.55,3,1
2054,71.3,1,Alpha,0.42,58.5,4,66.1,0.67,2,0
2055,59.8,1,Alpha,0.81,61.9,6,57.8,0.97,4,2
2056,65.1,1,Alpha,0.83,67.3,3,77.9,0.9,3,2
2057,188.4,1,Beta,0.69,66.7,2,80.4,0.64,3,0
2058,151.0,1,Alpha,0.88,60.4,7,50.6,1.37,3,0
2059,370.3,1,Beta,0.52,69.9,6,43.0,0.54,3,0
2060,682.9,1,Beta,0.36,66.3,3,85.3,1.6,4,1
2061,21.8,1,Alpha,0.46,57.5,6,39.3,0.71,3,0
2062,1167.7,0,Gamma,0.36,70.6,10,46.6,1.68,3,0
2063,412.9,1,Beta,0.59,57.7,2,74.9,0.77,4,0
2064,183.6,1,Alpha,0.43,73.0,5,81.8,1.64,4,1
2065,611.0,0,Alpha,0.35,61.8,1,47.4,0.59,3,0
2066,78.4,1,Gamma,0.33,67.2,5,60.3,1.54,5,0
2067,159.6,1,Beta,0.47,68.6,6,76.4,0.61,2,1
2068,65.0,1,Beta,0.45,69.8,6,77.5,1.24,4,2
2069,11.3,1,Alpha,0.75,62.5,7,45.3,1.52,3,0
2070,76.0,1,Beta,0.55,61.7,3,71.2,0.79,3,0
2071,10.6,1,Gamma,0.63,60.7,10,86.3,2.07,2,0
2072,130.5,1,Beta,0.67,63.3,3,72.2,1.28,4,1
2073,114.7,1,Gamma,0.35,66.0,9,40.6,0.72,3,0
2074,490.6,1,Alpha,0.39,67.9,5,41.5,1.21,3,0
2075,625.9,1,Gamma,0.77,59.9,7,85.3,1.59,3,2
2076,120.7,1,Alpha,0.78,68.1,8,75.8,1.35,3,1
2077,641.0,1,Gamma,0.61,71.8,4,36.3,1.9,3,0
2078,155.4,1,Beta,0.85,68.2,2,35.8,1.24,3,1
2079,36.0,1,Gamma,0.72,64.4,4,87.1,2.02,3,2
2080,91.5,1,Alpha,0.68,61.0,4,53.4,0.78,3,1
2081,284.3,1,Alpha,0.83,69.4,8,30.7,1.97,4,0
2082,485.3,1,Alpha,0.57,62.1,5,37.5,0.74,2,0
2083,319.4,1,Alpha,0.7,56.6,5,35.7,1.71,3,0
2084,69.1,1,Gamma,0.68,69.9,8,40.9,1.41,4,0
2085,387.5,0,Beta,0.66,72.2,2,37.6,1.63,3,0
2086,188.1,1,Beta,0.72,64.1,7,55.1,1.76,3,0
2087,501.7,1,Beta,0.53,65.9,4,32.7,1.21,3,0
2088,53.2,1,Alpha,0.35,62.5,10,49.3,0.88,3,0
2089,805.4,0,Beta,0.54,60.6,6,53.0,0.97,2,1
2090,340.8,1,Alpha,0.66,74.8,8,89.9,0.98,4,0
2091,185.6,1,Gamma,0.84,60.0,3,82.5,1.87,3,2
2092,831.8,0,Gamma,0.59,57.1,6,41.0,0.56,3,0
2093,16.8,1,Beta,0.4,61.6,5,48.9,0.88,4,1
2094,371.7,0,Alpha,0.63,58.8,2,89.9,1.69,3,0
2095,35.8,1,Alpha,0.77,71.7,8,68.2,1.78,3,0
2096,463.6,1,Beta,0.53,60.8,1,84.1,1.31,3,0
2097,137.7,1,Gamma,0.78,69.3,5,88.3,0.91,3,1
2098,179.8,1,Beta,0.35,64.2,9,57.5,0.8,2,1
2099,310.1,0,Beta,0.31,65.3,3,71.2,1.7,3,0
2100,198.5,1,Gamma,0.31,69.1,1,32.1,1.17,4,0
2101,626.7,1,Beta,0.53,65.2,8,46.7,0.9,2,0
2102,58.1,1,Alpha,0.66,74.7,1,40.8,1.15,4,0
2103,208.9,1,Beta,0.43,65.8,9,88.4,1.03,3,1
2104,505.9,1,Alpha,0.57,52.2,3,40.4,1.65,3,1
2105,839.9,0,Gamma,0.37,68.9,2,41.2,2.06,3,1
2106,109.1,1,Beta,0.63,67.8,3,48.0,0.92,4,1
2107,401.6,1,Beta,0.36,63.7,6,70.9,1.13,3,1
2108,18.6,1,Beta,0.63,66.6,5,56.1,0.56,2,0
2109,97.9,1,Alpha,0.47,62.6,6,87.5,0.82,3,1
2110,330.0,1,Alpha,0.79,63.7,5,59.3,0.94,3,0
2111,2.7,1,Beta,0.44,70.1,8,89.4,1.56,3,1
2112,473.1,1,Beta,0.47,67.6,4,70.3,0.58,4,0
2113,106.0,1,Gamma,0.88,66.9,10,55.2,2.2,3,0
2114,289.7,1,Beta,0.49,60.8,10,53.2,0.75,3,0
2115,312.5,1,Beta,0.52,65.6,10,65.8,0.68,2,0
2116,43.4,1,Gamma,0.52,73.0,1,34.7,0.86,2,0
2117,117.0,1,Beta,0.55,69.9,7,75.7,1.52,3,1
2118,211.9,1,Alpha,0.38,66.8,2,87.7,1.34,2,1
2119,297.2,1,Gamma,0.51,66.0,4,36.7,1.09,4,0
2120,380.6,1,Gamma,0.46,63.4,1,59.8,0.61,4,1
2121,620.4,0,Beta,0.72,55.5,10,79.6,1.59,3,0
2122,269.5,1,Beta,0.7,65.7,8,86.6,0.48,3,1
2123,512.4,1,Gamma,0.67,63.9,1,66.0,2.04,4,1
2124,297.8,1,Alpha,0.52,62.8,9,31.4,0.89,3,0
2125,464.5,1,Beta,0.86,79.4,4,35.8,0.96,2,0
2126,456.6,1,Beta,0.68,67.5,3,47.2,1.33,3,0
2127,432.5,1,Gamma,0.54,60.2,2,76.1,1.07,3,0
2128,309.2,0,Alpha,0.89,68.7,6,88.8,1.16,3,3
2129,269.1,1,Alpha,0.62,60.5,1,87.4,1.58,2,2
2130,26.6,1,Beta,0.71,59.7,7,48.5,0.45,4,0
2131,210.5,1,Alpha,0.59,67.7,6,51.1,1.02,3,0
2132,21.5,1,Gamma,0.54,65.3,8,33.3,1.95,4,0
2133,123.4,1,Beta,0.69,57.0,3,59.3,1.14,3,0
2134,85.2,1,Beta,0.87,66.2,1,67.5,1.06,3,0
2135,188.4,1,Gamma,0.45,61.0,5,70.4,1.8,3,1
2136,458.5,0,Alpha,0.59,65.8,10,61.4,1.07,4,0
2137,119.0,1,Gamma,0.53,64.8,6,71.9,1.26,3,1
2138,171.5,1,Beta,0.72,71.8,4,71.7,1.22,3,0
2139,358.1,1,Alpha,0.54,64.2,4,68.1,1.88,3,1
2140,262.2,1,Gamma,0.34,57.4,6,35.0,1.73,3,0
2141,161.2,1,Beta,0.62,68.1,7,62.9,0.77,4,0
2142,179.5,1,Beta,0.3,63.8,10,43.2,1.34,4,1
2143,721.8,1,Alpha,0.76,69.1,1,35.9,1.17,4,0
2144,390.4,1,Gamma,0.86,65.2,10,35.3,1.15,3,1
2145,335.6,1,Beta,0.54,62.2,6,51.1,1.12,2,0
2146,300.7,1,Gamma,0.44,69.1,6,62.4,0.65,1,0
2147,1092.6,1,Alpha,0.41,66.8,1,43.0,1.59,3,0
2148,136.6,1,Alpha,0.42,79.6,7,39.4,0.83,3,0
2149,469.0,0,Gamma,0.58,60.7,1,87.9,1.67,4,1
2150,119.4,1,Beta,0.89,64.9,3,54.5,0.58,2,0
2151,109.7,1,Beta,0.76,55.3,5,66.4,0.67,4,0
2152,167.4,1,Alpha,0.75,60.1,3,46.9,0.74,3,1
2153,43.9,1,Beta,0.56,67.0,4,72.1,0.5,3,0
2154,629.9,1,Beta,0.33,66.9,6,49.0,1.78,4,0
2155,267.4,1,Gamma,0.64,72.1,4,69.4,0.58,1,1
2156,337.5,1,Beta,0.39,68.0,9,67.8,0.8,2,0
2157,384.1,1,Gamma,0.75,58.5,9,80.7,0.8,4,0
2158,102.0,1,Gamma,0.41,72.1,8,79.9,0.96,2,1
2159,132.5,1,Beta,0.55,59.6,7,85.7,1.39,5,0
2160,169.9,1,Beta,0.54,72.3,10,47.4,1.27,3,1
2161,253.4,1,Beta,0.87,63.4,7,61.7,1.03,2,0
2162,122.6,1,Gamma,0.56,75.3,6,47.3,1.38,3,1
2163,245.1,1,Beta,0.55,68.6,2,57.1,1.28,5,0
2164,765.1,0,Gamma,0.78,78.8,9,71.5,1.71,5,0
2165,207.9,1,Alpha,0.55,67.0,2,64.6,1.52,3,1
2166,239.2,1,Beta,0.36,62.5,6,76.1,1.14,4,1
2167,22.7,1,Beta,0.84,60.0,6,54.9,1.3,3,0
2168,100.3,1,Alpha,0.9,63.5,6,89.4,1.96,3,1
2169,3.1,1,Alpha,0.39,61.2,4,82.7,1.11,2,1
2170,58.3,1,Alpha,0.51,56.1,10,86.6,0.5,3,0
2171,69.9,1,Gamma,0.62,66.0,1,37.1,1.57,3,0
2172,515.6,0,Alpha,0.31,59.5,7,82.6,1.07,4,0
2173,439.5,1,Gamma,0.65,65.8,6,60.9,0.79,4,0
2174,72.6,1,Beta,0.54,70.4,3,80.7,1.11,2,0
2175,667.7,0,Gamma,0.5,53.9,8,47.0,0.8,2,0
2176,254.2,1,Gamma,0.32,66.0,7,66.8,1.87,4,0
2177,14.1,1,Beta,0.5,67.6,10,60.1,0.91,4,3
2178,575.2,1,Beta,0.35,63.7,7,54.3,1.65,2,0
2179,876.3,1,Beta,0.58,59.2,5,67.6,1.78,4,0
2180,532.7,0,Gamma,0.39,73.9,6,49.2,1.83,4,0
2181,413.2,0,Gamma,0.41,70.4,5,67.1,1.36,2,0
2182,22.7,1,Beta,0.77,67.4,9,53.4,0.81,3,0
2183,356.1,0,Alpha,0.32,63.2,10,55.0,1.42,4,1
2184,161.4,1,Beta,0.6,64.1,8,87.4,0.72,2,1
2185,716.0,0,Gamma,0.64,63.7,2,74.3,0.99,2,0
2186,628.3,1,Gamma,0.41,55.7,8,76.3,1.73,4,0
2187,395.0,1,Beta,0.57,67.1,2,86.1,1.64,4,0
2188,423.5,1,Alpha,0.75,65.7,2,54.5,0.68,2,0
2189,822.8,1,Beta,0.48,62.6,4,82.2,0.65,2,1
2190,391.1,0,Gamma,0.84,55.6,5,87.2,2.19,2,2
2191,234.2,1,Beta,0.44,57.5,5,65.1,0.56,3,1
2192,169.4,1,Beta,0.88,65.7,4,87.3,1.12,2,3
2193,267.4,1,Gamma,0.46,64.7,3,82.6,1.6,3,0
2194,455.9,1,Beta,0.79,71.0,9,58.0,0.93,4,0
2195,557.2,1,Beta,0.77,66.6,2,85.0,0.47,3,0
2196,114.6,1,Beta,0.62,59.1,8,30.8,0.87,2,1
2197,539.5,1,Beta,0.4,70.4,6,79.2,1.28,3,0
2198,758.5,0,Beta,0.67,67.1,9,47.7,1.03,3,0
2199,599.7,0,Beta,0.37,65.4,9,65.0,0.63,3,0
2200,253.3,1,Alpha,0.77,62.8,10,37.1,0.56,4,0
2201,50.8,1,Alpha,0.87,63.9,9,43.0,1.19,4,1
2202,897.2,1,Gamma,0.62,66.1,5,43.2,1.72,2,0
2203,68.4,1,Beta,0.4,68.0,10,85.8,0.65,3,1
2204,385.5,0,Alpha,0.37,55.9,4,64.9,0.67,3,1
2205,267.4,1,Alpha,0.88,68.5,4,79.7,0.78,2,3
2206,590.8,1,Beta,0.75,61.4,3,34.9,1.31,3,1
2207,482.0,0,Alpha,0.87,65.8,5,48.3,1.52,3,1
2208,163.2,1,Beta,0.46,70.1,1,43.8,1.3,2,1
2209,845.8,0,Beta,0.42,61.1,3,86.7,0.95,4,0
2210,110.9,1,Beta,0.31,59.2,9,45.0,1.2,4,1
2211,194.8,1,Alpha,0.83,60.6,2,37.5,1.12,3,1
2212,309.7,1,Alpha,0.4,66.1,1,84.0,1.65,3,1
2213,70.0,1,Gamma,0.67,68.1,6,35.6,2.1,4,0
2214,18.3,1,Gamma,0.88,71.2,1,61.6,1.81,4,0
2215,118.7,1,Gamma,0.8,66.7,3,63.5,2.06,2,1
2216,22.3,1,Beta,0.47,66.8,7,63.6,0.61,3,0
2217,183.5,1,Alpha,0.9,73.1,2,39.0,1.96,3,2
2218,236.8,1,Beta,0.6,63.9,5,34.2,1.56,4,0
2219,743.6,1,Gamma,0.66,61.1,3,31.7,2.13,3,0
2220,484.2,0,Beta,0.31,59.7,4,72.0,0.53,2,0
2221,429.2,1,Beta,0.42,71.0,2,47.0,1.77,4,0
2222,302.3,1,Alpha,0.84,57.3,1,79.6,1.6,3,1
2223,392.2,1,Beta,0.52,58.0,5,57.5,0.65,2,0
2224,113.4,1,Beta,0.58,68.9,9,80.7,1.46,3,0
2225,42.7,1,Beta,0.77,68.6,7,45.8,1.73,3,2
2226,69.3,1,Beta,0.66,63.1,7,62.5,0.89,3,0
2227,290.2,1,Alpha,0.64,61.7,8,54.2,1.92,4,1
2228,362.9,1,Alpha,0.84,63.8,10,54.7,1.69,2,0
2229,144.3,1,Alpha,0.79,67.4,7,80.1,0.86,2,0
2230,43.9,1,Alpha,0.79,68.6,10,56.8,0.71,3,1
2231,94.7,1,Gamma,0.5,58.3,8,33.4,1.55,5,0
2232,133.8,1,Gamma,0.73,72.3,6,87.2,1.38,3,0
2233,373.6,1,Alpha,0.74,59.7,3,41.6,1.01,3,0
2234,501.5,1,Alpha,0.74,67.8,3,71.0,1.9,3,0
2235,265.7,1,Beta,0.31,76.4,2,83.7,0.59,2,0
2236,14.0,1,Gamma,0.78,65.6,5,56.4,2.07,5,0
2237,618.1,0,Gamma,0.51,70.0,6,76.9,1.63,5,1
2238,141.5,1,Alpha,0.36,61.9,5,79.7,0.74,2,1
2239,16.4,1,Alpha,0.59,64.5,10,46.0,0.53,4,1
2240,1.8,1,Beta,0.58,65.8,6,31.8,0.91,2,0
2241,618.0,1,Alpha,0.43,67.1,5,68.6,1.86,3,0
2242,9.7,1,Gamma,0.41,64.3,2,77.7,0.73,3,0
2243,3.7,1,Alpha,0.85,68.7,9,49.8,0.73,4,1
2244,48.6,1,Beta,0.86,71.2,8,79.3,0.94,3,2
2245,42.3,1,Alpha,0.83,58.6,4,60.1,1.18,2,1
2246,826.8,0,Beta,0.48,65.6,3,83.7,1.0,3,0
2247,107.3,1,Alpha,0.44,75.7,9,82.2,1.77,4,2
2248,26.3,1,Gamma,0.65,67.8,8,86.8,1.83,2,1
2249,301.9,1,Gamma,0.8,63.0,1,82.3,1.15,4,2
2250,955.2,0,Beta,0.32,67.0,2,58.7,1.2,3,0
2251,802.5,0,Beta,0.33,62.5,3,83.3,1.79,3,0
2252,167.3,1,Beta,0.69,69.0,5,84.0,1.76,4,2
2253,82.7,1,Gamma,0.86,61.2,1,73.4,1.34,3,1
2254,142.9,1,Beta,0.73,69.8,8,39.4,1.36,3,1
2255,639.9,1,Beta,0.8,64.0,1,31.9,0.63,4,1
2256,169.0,1,Gamma,0.77,70.0,1,74.5,0.63,2,1
2257,405.5,1,Beta,0.83,67.8,2,76.4,1.5,3,2
2258,22.1,1,Alpha,0.82,66.8,2,31.3,1.02,3,1
2259,507.8,0,Alpha,0.81,68.7,1,55.4,1.65,4,0
2260,755.3,0,Alpha,0.7,57.8,1,55.1,1.72,4,0
2261,320.0,1,Alpha,0.43,59.5,5,47.8,1.06,3,0
2262,18.8,1,Alpha,0.78,65.7,1,67.9,1.06,2,0
2263,351.2,1,Beta,0.33,64.9,5,66.6,0.58,2,0
2264,314.1,1,Gamma,0.82,66.2,5,86.8,1.56,3,0
2265,413.7,1,Alpha,0.64,68.9,10,72.0,1.2,4,0
2266,54.4,1,Gamma,0.81,74.9,7,86.9,1.0,2,2
2267,261.6,1,Beta,0.68,70.4,10,56.7,0.72,3,0
2268,74.9,1,Alpha,0.82,68.6,3,53.8,1.94,3,2
2269,110.4,1,Gamma,0.79,64.3,7,73.5,1.37,3,0
2270,461.8,1,Alpha,0.79,63.5,1,66.4,1.9,4,0
2271,151.0,1,Beta,0.52,73.9,9,35.5,1.23,4,1
2272,291.5,1,Beta,0.42,68.8,3,37.6,1.27,3,0
2273,412.2,0,Beta,0.77,72.5,7,45.4,1.78,4,0
2274,4.1,1,Alpha,0.54,62.2,1,49.9,1.87,4,0
2275,865.6,1,Alpha,0.59,60.3,5,77.0,1.73,4,1
2276,150.1,1,Beta,0.62,65.7,3,58.1,0.9,3,1
2277,490.0,1,Alpha,0.4,62.4,10,69.6,1.2,3,2
2278,389.2,1,Gamma,0.64,67.3,8,33.2,1.26,4,2
2279,248.5,1,Beta,0.62,67.7,6,44.3,0.53,3,1
2280,143.3,1,Gamma,0.54,65.1,5,67.9,0.99,3,0
2281,38.5,1,Alpha,0.5,59.8,8,82.2,1.46,3,2
2282,307.8,0,Alpha,0.3,60.7,9,49.7,1.98,3,0
2283,418.4,0,Alpha,0.65,50.8,3,74.1,1.55,3,2
2284,139.5,1,Beta,0.46,66.6,3,71.1,1.41,1,1
2285,680.6,0,Gamma,0.5,60.7,9,49.0,1.04,2,1
2286,237.7,1,Gamma,0.38,60.1,9,87.7,1.81,3,1
2287,838.7,0,Gamma,0.78,64.9,4,66.9,1.06,3,0
2288,436.3,0,Gamma,0.55,72.2,2,43.1,1.99,5,0
2289,278.3,1,Gamma,0.48,65.2,7,71.3,1.51,4,0
2290,520.2,0,Gamma,0.54,64.6,3,45.2,1.65,4,0
2291,311.0,1,Beta,0.35,62.7,3,69.4,1.21,4,0
2292,57.3,1,Alpha,0.47,69.3,8,74.6,0.92,3,1
2293,231.2,1,Beta,0.37,70.4,3,38.8,1.0,3,0
2294,104.9,1,Beta,0.8,63.9,3,51.1,1.16,3,0
2295,19.7,1,Alpha,0.6,63.8,10,50.8,1.89,3,0
2296,654.5,1,Gamma,0.61,63.2,1,78.4,0.71,3,1
2297,156.3,1,Gamma,0.87,60.0,5,77.9,0.66,2,3
2298,137.3,1,Beta,0.9,65.1,4,37.3,1.33,5,1
2299,486.5,1,Beta,0.55,70.6,1,38.9,0.66,3,1
2300,539.9,0,Alpha,0.36,62.2,4,46.4,1.47,3,0
2301,227.2,1,Alpha,0.83,74.0,9,36.6,1.52,3,0
2302,392.4,0,Gamma,0.38,71.6,1,38.5,1.8,4,0
2303,114.8,1,Gamma,0.62,65.7,10,86.2,0.91,2,0
2304,386.0,1,Alpha,0.61,66.5,1,59.4,1.87,3,0
2305,122.9,1,Gamma,0.89,58.6,9,70.4,0.6,4,0
2306,297.6,1,Beta,0.81,62.5,4,50.3,1.28,3,0
2307,83.2,1,Beta,0.75,59.4,3,78.4,1.41,3,3
2308,110.9,1,Beta,0.59,60.0,4,38.8,1.47,4,0
2309,2.2,1,Gamma,0.58,70.5,6,88.8,1.59,3,0
2310,42.0,1,Alpha,0.44,64.9,10,53.9,0.64,3,0
2311,314.3,1,Alpha,0.5,58.3,4,46.3,1.81,3,0
2312,552.0,0,Gamma,0.31,56.8,10,34.2,1.29,3,0
2313,52.0,1,Gamma,0.7,70.5,10,78.0,0.55,3,0
2314,354.7,1,Alpha,0.52,67.3,6,49.3,1.33,3,0
2315,179.2,1,Beta,0.77,56.8,4,78.3,0.98,3,1
2316,222.8,1,Gamma,0.65,57.6,1,51.7,0.9,2,0
2317,51.5,1,Beta,0.63,66.7,4,77.1,1.65,1,0
2318,777.8,1,Gamma,0.55,65.8,7,44.6,1.07,3,1
2319,538.1,1,Gamma,0.67,65.4,7,69.6,1.25,2,2
2320,668.6,1,Alpha,0.78,63.0,9,88.7,1.11,3,0
2321,94.4,1,Beta,0.41,66.2,1,81.1,1.33,4,0
2322,17.9,1,Alpha,0.42,62.1,7,36.3,1.06,3,0
2323,601.5,0,Gamma,0.49,70.2,4,79.3,0.83,2,1
2324,668.8,0,Gamma,0.7,69.2,5,58.9,0.93,1,0
2325,189.1,1,Alpha,0.68,68.1,10,55.9,1.34,1,0
2326,3.3,1,Gamma,0.84,70.8,6,68.5,0.6,4,1
2327,540.0,1,Gamma,0.48,69.7,5,54.5,1.34,3,1
2328,211.5,1,Alpha,0.34,67.0,6,81.2,1.01,4,1
2329,499.0,1,Beta,0.56,62.2,1,33.8,0.58,3,1
2330,93.7,1,Gamma,0.67,67.7,7,66.1,1.65,4,1
2331,32.3,1,Beta,0.42,69.9,6,59.9,0.47,3,0
2332,694.4,1,Alpha,0.73,66.5,4,79.3,0.91,3,2
2333,65.0,1,Beta,0.67,72.5,7,85.8,1.04,4,2
2334,464.9,1,Gamma,0.89,70.1,4,78.9,1.43,3,1
2335,556.3,1,Alpha,0.48,70.3,5,30.3,1.3,3,0
2336,141.2,1,Beta,0.39,73.2,8,81.6,0.79,3,0
2337,262.0,1,Gamma,0.79,71.5,3,35.3,1.62,4,0
